Question,Answer,type,Inside_Intent
Employee assistance program,  EMPLOYEE ASSISTANCE PROGRAM (EAP) is a free of cost confidential counselling service offered to all employees. This program is provided by 1 to 1 Help Net Pvt Ltd.  XYZ Path for information related to EAP:  XYZ HR Portal --> Benefits --> Employee Assistance Program.,13,
I want to know about Employee Assistance Program or EAP.,  EMPLOYEE ASSISTANCE PROGRAM (EAP) is a free of cost confidential counselling service offered to all employees. This program is provided by 1 to 1 Help Net Pvt Ltd.  XYZ Path for information related to EAP:  XYZ HR Portal --> Benefits --> Employee Assistance Program.,13,
What is Zeta meal card ?,  ZETA meal card is a tax -free benefit of Rs.1500/-(monthly). Employees can increase the per month amount to Rs.2200 for additional tax benefit of Rs.700 . The amount will be credited to the Zeta account on the first Monday of every month.  XYZ ,14,
Will I get a tax-benefit for Zeta ?,  ZETA meal card is a tax -free benefit of Rs.1500/-(monthly). Employees can increase the per month amount to Rs.2200 for additional tax benefit of Rs.700 . The amount will be credited to the Zeta account on the first Monday of every month.  XYZ ,14,
Can I increase the amount in Zeta ?,  ZETA meal card is a tax -free benefit of Rs.1500/-(monthly). Employees can increase the per month amount to Rs.2200 for additional tax benefit of Rs.700 . The amount will be credited to the Zeta account on the first Monday of every month.  XYZ ,14,
Can I increase the monthly amount in Zeta ?,  ZETA meal card is a tax -free benefit of Rs.1500/-(monthly). Employees can increase the per month amount to Rs.2200 for additional tax benefit of Rs.700 . The amount will be credited to the Zeta account on the first Monday of every month.  XYZ ,14,
How can I increase the monthly amount in Zeta ?,  ZETA meal card is a tax -free benefit of Rs.1500/-(monthly). Employees can increase the per month amount to Rs.2200 for additional tax benefit of Rs.700 . The amount will be credited to the Zeta account on the first Monday of every month.  XYZ ,14,
Zeta card,  ZETA meal card is a tax -free benefit of Rs.1500/-(monthly). Employees can increase the per month amount to Rs.2200 for additional tax benefit of Rs.700 . The amount will be credited to the Zeta account on the first Monday of every month.  XYZ ,14,
Meal card,  ZETA meal card is a tax -free benefit of Rs.1500/-(monthly). Employees can increase the per month amount to Rs.2200 for additional tax benefit of Rs.700 . The amount will be credited to the Zeta account on the first Monday of every month.  XYZ ,14,
Zeta,  ZETA meal card is a tax -free benefit of Rs.1500/-(monthly). Employees can increase the per month amount to Rs.2200 for additional tax benefit of Rs.700 . The amount will be credited to the Zeta account on the first Monday of every month.  XYZ ,14,
When will I get the amount credited to my Zeta card ?,  ZETA meal card is a tax -free benefit of Rs.1500/-(monthly). Employees can increase the per month amount to Rs.2200 for additional tax benefit of Rs.700 . The amount will be credited to the Zeta account on the first Monday of every month.  XYZ ,14,
What is the amount for day care reimbursement ?,"  Employees can claim up to INR 2,000 per month as Day Care Reimbursement, for maximum of two children. Please reach out to your HR for further queries.",15,
How much can I claim for day care reimbursement ?,"  Employees can claim up to INR 2,000 per month as Day Care Reimbursement, for maximum of two children. Please reach out to your HR for further queries.",15,
Am I eligible to claim day care reimbursement ?,"  Employees can claim up to INR 2,000 per month as Day Care Reimbursement, for maximum of two children. Please reach out to your HR for further queries.",15,
What is day care reimbursement ?,"  Employees can claim up to INR 2,000 per month as Day Care Reimbursement, for maximum of two children. Please reach out to your HR for further queries.",15,
Day care reimbursement,"  Employees can claim up to INR 2,000 per month as Day Care Reimbursement, for maximum of two children. Please reach out to your HR for further queries.",15,
Children day care,"  Employees can claim up to INR 2,000 per month as Day Care Reimbursement, for maximum of two children. Please reach out to your HR for further queries.",15,
"For how many children, can I claim the day care reimbursement ?","  Employees can claim up to INR 2,000 per month as Day Care Reimbursement, for maximum of two children. Please reach out to your HR for further queries.",15,
When do I get long service award ?,"   XYZ The Long Service Awards are the Synchrony Star awards to reward long service. These awards range from INR 5,000-INR 2,50,000. The reward points are credited based on the tenure of an employee within the organization. An email will be triggered once the points are credited. XYZ ",16,
How can I get long service award ?,"   XYZ The Long Service Awards are the Synchrony Star awards to reward long service. These awards range from INR 5,000-INR 2,50,000. The reward points are credited based on the tenure of an employee within the organization. An email will be triggered once the points are credited. XYZ ",16,
What is the award range for long service ?,"   XYZ The Long Service Awards are the Synchrony Star awards to reward long service. These awards range from INR 5,000-INR 2,50,000. The reward points are credited based on the tenure of an employee within the organization. An email will be triggered once the points are credited. XYZ ",16,
What is the amount I get for my long service ?,"   XYZ The Long Service Awards are the Synchrony Star awards to reward long service. These awards range from INR 5,000-INR 2,50,000. The reward points are credited based on the tenure of an employee within the organization. An email will be triggered once the points are credited. XYZ ",16,
Long service award,"   XYZ The Long Service Awards are the Synchrony Star awards to reward long service. These awards range from INR 5,000-INR 2,50,000. The reward points are credited based on the tenure of an employee within the organization. An email will be triggered once the points are credited. XYZ ",16,
I want to know about long service awards.,"   XYZ The Long Service Awards are the Synchrony Star awards to reward long service. These awards range from INR 5,000-INR 2,50,000. The reward points are credited based on the tenure of an employee within the organization. An email will be triggered once the points are credited. XYZ ",16,
who is my HR?,"Sorry, I only know about general HR queries.",17,
what is my HR name?,"Sorry, I only know about general HR queries.",17,
Who is my HR manager,"Sorry, I only know about general HR queries.",17,
Cab details,"Sorry, I only know about general HR queries.",17,
